IFDM - Índice Firjan de Desenvolvimento Municipal (NOVO)
Sigla;Código;Município;2019;2020;2021;2022;2023;
BA;2903300;Governador Lomanto Júnior;0,4412;0,4739;0,4451;0,4587;0,5175;
BA;2903409;Belmonte;0,3055;0,309;0,3497;0,381;0,3993;
BA;2903508;Belo Campo;0,3614;0,3858;0,4178;0,4479;0,4312;
BA;2903607;Biritinga;0,2886;0,3251;0,304;0,3687;0,4089;
BA;2903706;Boa Nova;0,3649;0,3806;0,4696;0,4933;0,4877;
BA;2903805;Boa Vista do Tupim;0,3915;0,3884;0,37;0,4237;0,4533;
BA;2903904;Bom Jesus da Lapa;0,4838;0,4864;0,4928;0,517;0,5693;
BA;2903953;Bom Jesus da Serra;0,3683;0,3794;0,3471;0,4627;0,4785;
BA;2904001;Boninal;0,3298;0,4105;0,3268;0,3751;0,4708;
BA;2904050;Bonito;0,3602;0,4121;0,3616;0,4318;0,4801;
BA;2904100;Boquira;0,3425;0,3967;0,4301;0,4286;0,4119;
BA;2904209;Botuporã;0,4431;0,4624;0,4128;0,4842;0,5393;
BA;2904308;Brejões;0,3344;0,3902;0,4383;0,4184;0,4457;
BA;2904407;Brejolândia;0,333;0,314;0,3442;0,3605;0,3839;
BA;2904506;Brotas de Macaúbas;0,3672;0,4066;0,3955;0,4445;0,4629;
BA;2904605;Brumado;0,5877;0,6051;0,5977;0,647;0,6631;
BA;2904704;Buerarema;0,3269;0,3446;0,3373;0,3989;0,4026;
BA;2904753;Buritirama;0,3368;0,3648;0,2779;0,3808;0,3731;
BA;2904803;Caatiba;0,4279;0,454;0,3883;0,5272;0,5422;
BA;2904852;Cabaceiras do Paraguaçu;0,3885;0,3381;0,3407;0,4682;0,5179;
BA;2904902;Cachoeira;0,3932;0,4141;0,4301;0,4345;0,4519;
BA;2905008;Caculé;0,5023;0,5539;0,5343;0,5719;0,6194;
BA;2905107;Caém;0,3527;0,3481;0,3273;0,3941;0,4895;
BA;2905156;Caetanos;0,3906;0,4022;0,3861;0,4693;0,5408;
BA;2905206;Caetité;0,4422;0,4986;0,4763;0,557;0,5768;
BA;2905305;Cafarnaum;0,3461;0,3607;0,3274;0,4565;0,5215;
BA;2905404;Cairu;0,4458;0,4212;0,4577;0,5352;0,5784;
BA;2905503;Caldeirão Grande;0,3923;0,3711;0,401;0,4089;0,4349;
BA;2905602;Camacan;0,339;0,382;0,3849;0,4586;0,4857;
BA;2905701;Camaçari;0,5357;0,5416;0,5526;0,6065;0,638;
BA;2905800;Camamu;0,2699;0,3376;0,3554;0,3432;0,451;
BA;2905909;Campo Alegre de Lourdes;0,2538;0,2772;0,268;0,3146;0,3339;
BA;2906006;Campo Formoso;0,3551;0,3894;0,3664;0,4126;0,4758;
BA;2906105;Canápolis;0,3488;0,3733;0,4476;0,3709;0,4198;
BA;2906204;Canarana;0,3549;0,4066;0,3733;0,4494;0,5027;
BA;2906303;Canavieiras;0,3396;0,342;0,3143;0,398;0,418;
BA;2906402;Candeal;0,4206;0,3528;0,4345;0,3829;0,4403;
BA;2906501;Candeias;0,4867;0,4984;0,4875;0,5443;0,5875;
BA;2906600;Candiba;0,396;0,406;0,4614;0,5106;0,5147;
BA;2906709;Cândido Sales;0,2923;0,3161;0,3875;0,4273;0,4579;
BA;2906808;Cansanção;0,3128;0,3505;0,3518;0,3691;0,4086;
BA;2906824;Canudos;0,3084;0,3231;0,4029;0,4132;0,489;
